,character
0,Zorian Kazinski 
1,Zach Noveda 
2,Red Robe 
3,Cikan Kazinski 
4,Andir Kazinski 
5,Kirielle Kazinski 
6,Fortov Kazinski 
7,Daimen Kazinski 
8,Grandma of Zoria
9,Ilsa Zileti 
10,Xvim Chao 
11,Carabiera Aope 
12,Nirthak 
13,Zenomir Olgai 
14,Kyron 
15,Nora Boole 
16,Azlyn Marivoski 
17,Kirithishli Korisova 
18,Byrn Ivarin 
19,Veyers Boranova 
20,Zach Noveda 
21,Kael Tverinov 
22,Briam 
23,Akoja Stroze 
24,Neolu 
25,Raynie 
26,Kiana 
27,Benisek 
28,Edwin 
29,Tinami Aope 
30,Kopriva Reid 
31,Aneka and Armie Ashirai 
32,Naim 
33,Estin Grier 
34,Elsi
35,Jade 
36,Maya 
37,Iroro 
38,Fortov Kazinski 
39,Ibery Ambercomb 
40,Quatach-Ichl 
41,Lady Zoltan 
42,Imaya Kuroshka 
43,Tesen Zveri 
44,Kana Tverinov 
45,Haslush Ikzeteri 
46,Urik 
47,Oran 
48,Kylae Kuosi 
49,Batak 
50,Nochka Sashal 
51,Rea Sashal 
52,Sauh Sashal 
53,Taiven 
54,Vatimah Tinc 
55,Jornak Dokochin 
56,Matriarch 
57,Novelty 
58,Fang of Victory 
59,Seeker 
60,She Who Eats Fire & Sees Gold 
61,Bridge of Moonlight Connecting Ten Thousand Shores 
62,Mind Like Fire 
63,Alanic Zosk 
64,Lukav Teklo 
65,Silverlake 
66,Fria 
67,Namira 
68,Gurey Cwili 
69,Aldwin Rofoltin 
70,Vani 
71,Vazen 
72,Orinus 
73,Sudomir Kandrei 
74,Orissa Taramatula 
75,Ulanna Taramatula 
76,Kirma 
77,Torun 
78,Chassanah 
79,Ibak 
80,Silver One 
81,Oganj 
82,Kilnfather 
83,Stonechild 
84,Violeteye 
85,Panaxeth 
86,â†‘ chapter 2
